#Date/Time of Update: 2018-04-12 11:39:55 AM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Wins,#Losses,#Pts,#PtsAgainst
,109,HOU,Houston,Rockets,1,82,65,17,9213,8518
,81,TOR,Toronto,Raptors,2,82,59,23,9156,8519
,101,GSW,Golden State,Warriors,3,82,58,24,9302,8814
,82,BOS,Boston,Celtics,4,82,55,27,8529,8235
,85,PHI,Philadelphia,76ers,5,82,52,30,9004,8635
,86,CLE,Cleveland,Cavaliers,6,82,50,32,9091,9014
,97,POR,Portland,Trail Blazers,7,82,49,33,8661,8448
,98,UTA,Utah,Jazz,8,82,48,34,8540,8187
,96,OKL,Oklahoma City,Thunder,9,82,48,34,8844,8564
,87,IND,Indiana,Pacers,10,82,48,34,8656,8543
,110,NOP,New Orleans,Pelicans,11,82,48,34,9161,9054
,106,SAS,San Antonio,Spurs,12,82,47,35,8424,8187
,100,MIN,Minnesota,Timberwolves,13,82,47,35,8980,8797
,99,DEN,Denver,Nuggets,14,82,46,36,9020,8899
,92,MIA,Miami,Heat,15,82,44,38,8480,8441
,90,MIL,Milwaukee,Bucks,16,82,44,38,8731,8756
,94,WAS,Washington,Wizards,17,82,43,39,8742,8694
,102,LAC,Los Angeles,Clippers,18,82,42,40,8937,8934
,88,DET,Detroit,Pistons,19,82,39,43,8509,8521
,93,CHA,Charlotte,Hornets,20,82,36,46,8874,8853
,105,LAL,Los Angeles,Lakers,21,82,35,47,8862,8989
,83,NYK,New York,Knicks,22,82,29,53,8566,8858
,84,BRO,Brooklyn,Nets,23,82,28,54,8741,9048
,103,SAC,Sacramento,Kings,24,82,27,55,8104,8677
,89,CHI,Chicago,Bulls,25,82,27,55,8441,9017
,95,ORL,Orlando,Magic,26,82,25,57,8479,8874
,108,DAL,Dallas,Mavericks,27,82,24,58,8390,8637
,91,ATL,Atlanta,Hawks,28,82,24,58,8475,8922
,107,MEM,Memphis,Grizzlies,29,82,22,60,8145,8654
,104,PHX,Phoenix,Suns,30,82,21,61,8522,9290